MD,CLASS,CNL,CPOR,DENS,GR,KAH,LL9D,NEU,RT,SONI,CAT,LOGKAH
11148,3,21.905,16.1,2.222,56.05,5.6,,0.21905,,90.178,4,0.748188027
11148.5,3,22.335,16.5,2.222,56.488,6,,0.22335,,90.176,4,0.77815125
11150,3,23.515,21.1,2.255,56.762,330,,0.23515,,90.18,4,2.51851394
11151,3,23.478,21.1,2.235,58.032,280,,0.23478,,91.051,4,2.447158031
11152.5,3,23.25,24.1,2.232,58.064,530,,0.2325,,90.916,4,2.72427587
11153.5,3,23.57,20.8,2.238,54.99,260,,0.2357,,89.37,4,2.414973348
11155,3,24.596,26.1,2.226,54.4,1500,,0.24596,,89.359,4,3.176091259
11156,3,24.002,26.4,2.231,55.2,1300,,0.24002,,88.778,4,3.113943352
11157,3,23.635,24.5,2.231,57.55,560,,0.23635,,89.873,4,2.748188027
11158,2,21.836,25.8,2.238,59.58,880,,0.21836,,90.183,4,2.944482672
11159.5,2,21.63,25.5,2.307,64.838,670,,0.2163,,86.178,4,2.826074803
11160.5,2,21.346,22.6,2.295,65.096,320,,0.21346,,84.617,4,2.505149978
11162,2,22.525,21.5,2.309,61.689,380,,0.22525,,83.03,4,2.579783597
11163,2,22.974,25.2,2.278,62.522,1200,,0.22974,,83.929,4,3.079181246
11164,3,23.553,26.4,2.216,59.697,2100,,0.23553,,90.114,4,3.322219295
11165.5,2,23.473,24.5,2.294,61.425,980,,0.23473,,88.375,4,2.991226076
11166,2,23.907,19.2,2.309,63.738,77,,0.23907,,86.955,4,1.886490725
11167,2,23.845,20.7,2.31,61.928,280,,0.23845,,86.167,4,2.447158031
11168.5,2,23.104,20.2,2.274,59.091,65,,0.23104,,87.734,4,1.812913357
11169.5,2,23.354,19.4,2.299,57.55,500,,0.23354,,85.37,4,2.698970004
11171.5,2,22.08,23,2.286,55.275,190,,0.2208,,86.936,4,2.278753601
11174,2,21.66,15.2,2.276,50.83,38,,0.2166,,83.725,4,1.579783597
11175.5,2,20.162,20.7,2.346,50.574,65,,0.20162,,82.579,4,1.812913357
11176.5,2,21.317,21.5,2.316,52.291,260,,0.21317,,82.17,4,2.414973348
11178,3,23.721,20.3,2.281,55.187,97,,0.23721,,87.675,4,1.986771734
11179,2,22.787,18.5,2.295,53.604,33,,0.22787,,86.45,4,1.51851394
11180.5,2,22.031,21.3,2.303,56.484,140,,0.22031,,85.325,4,2.146128036
11431,1,17.8,12.6,2.473,58.161,0.1,,0.178,,77.457,4,-1
11432.5,1,18.96,14.4,2.461,52.002,0.31,,0.1896,,81.355,4,-0.508638306
11433.5,1,19.76,17,2.452,50.561,1.4,,0.1976,,81.353,4,0.146128036
11434.5,1,19.6,15,2.448,52.866,0.42,,0.196,,81.35,4,-0.37675071
11435.5,1,19.44,11.6,2.437,55.266,0.17,,0.1944,,81.347,4,-0.769551079
11436.5,1,19.36,15.3,2.415,58.499,0.58,,0.1936,,81.291,4,-0.236572006
11438.5,1,18.52,15.7,2.437,63.839,0.58,,0.1852,,80.552,4,-0.236572006
11439.5,1,18.74,16.1,2.448,67.024,0.7,,0.1874,,81.337,5,-0.15490196
11440.5,1,19.96,15.2,2.429,67.758,0.35,,0.1996,,81.334,5,-0.455931956
11441.5,1,19.52,15.9,2.415,64.224,0.6,,0.1952,,81.733,5,-0.22184875
11443,1,18.6,14.9,2.433,60.047,0.45,,0.186,,82.109,5,-0.346787486
11444.5,1,18.04,14.6,2.429,59.018,0.29,,0.1804,,80.535,5,-0.537602002
11445.5,1,17.76,15.8,2.433,59.919,0.62,,0.1776,,78.959,5,-0.207608311
11446.5,1,17.62,15.6,2.462,59.67,0.45,,0.1762,,79.739,5,-0.346787486
11448.5,1,17.18,14.4,2.478,59.651,0.35,,0.1718,,77.524,5,-0.455931956
11449,1,16.98,15.2,2.471,58.337,0.45,,0.1698,,74.818,5,-0.346787486
11451,1,17.2,15.9,2.467,54.455,0.82,,0.172,,76.953,5,-0.086186148
11452,1,18.18,13.7,2.438,55.497,0.24,,0.1818,,81.079,5,-0.619788758
11454.5,1,19.2,15.2,2.421,56.762,0.44,,0.192,,81.985,5,-0.356547324
11455.5,1,18.42,14.4,2.439,57.004,0.35,,0.1842,,81.782,5,-0.455931956
11456.5,1,18,11.1,2.423,59.663,0.1,,0.18,,81.048,5,-1
11458,1,18.14,15.1,2.432,55.778,0.37,,0.1814,,80.502,5,-0.431798276
11460,1,17.1,14.5,2.426,63.284,0.28,,0.171,,80.404,5,-0.552841969
11461,1,18.08,16.1,2.446,62.822,0.78,,0.1808,,79.796,5,-0.107905397
11462,1,18.3,14.5,2.448,60.011,0.34,,0.183,,80.491,5,-0.468521083
11463.5,1,18.24,14.5,2.453,62.824,0.35,,0.1824,,81.121,5,-0.455931956
11464.5,1,17.64,14.4,2.425,62.83,0.34,,0.1764,,81.272,5,-0.468521083
11465.5,1,18.88,15.1,2.435,61.758,0.46,,0.1888,,81.27,5,-0.337242168
11466,1,19.42,13.9,2.433,59.829,0.22,,0.1942,,80.937,5,-0.657577319
11467,1,19.44,14,2.437,57.691,0.25,,0.1944,,80.479,5,-0.602059991
11468.5,1,16.54,15.9,2.453,60.7,0.54,,0.1654,,79.269,5,-0.26760624
11470,1,17.52,15.5,2.455,63.933,0.73,,0.1752,,77.475,4,-0.13667714
11471,1,17.64,14.7,2.467,67.787,0.39,,0.1764,,78.892,4,-0.408935393
11472,1,17.14,15.6,2.467,67.4,0.75,,0.1714,,80.465,4,-0.124938737
11473,1,17.2,13,2.44,64.677,0.77,,0.172,,80.463,4,-0.113509275
11473.5,1,17.46,13.7,2.463,62.823,0.21,,0.1746,,80.462,4,-0.677780705
11476,1,18.4,13.2,2.468,61.707,0.15,,0.184,,80.242,4,-0.823908741
11477,1,18.34,15.8,2.497,64.683,0.59,,0.1834,,79.651,4,-0.229147988
11479,1,18.78,16.3,2.444,62.275,0.56,,0.1878,,79.488,4,-0.251811973
11480.5,1,17.34,13.4,2.436,63.85,0.15,,0.1734,,78.866,5,-0.823908741
11482,1,17.7,13,2.442,58.868,0.27,,0.177,,81.227,5,-0.568636236
11483,1,18.12,13,2.465,57.305,0.26,,0.1812,,80.445,5,-0.585026652
11484.5,1,19.02,15.6,2.456,57.026,0.56,,0.1902,,78.858,5,-0.251811973
11485.5,1,18.86,14.7,2.439,59.473,0.28,,0.1886,,78.854,5,-0.552841969
11486.5,1,18.48,15.5,2.469,61.846,0.43,,0.1848,,79.626,5,-0.366531544
11487.5,1,18.76,14.2,2.477,64.509,0.21,,0.1876,,79.638,5,-0.677780705
11489,1,19.28,15.1,2.477,69.363,0.32,,0.1928,,79.634,5,-0.494850022
11490,1,19.98,13.8,2.452,69.193,0.44,,0.1998,,80.234,5,-0.356547324
11491,1,19.3,13.6,2.444,67.097,0.29,,0.193,,81.204,5,-0.537602002
11492,1,19.52,13.8,2.446,64.044,0.15,,0.1952,,80.667,5,-0.823908741
