MD,FACIES,CNL,CPOR,DENS,GR,KAH,LL9D,NEU,RT,SONI,CAT,LOGKAH
10505.5,3,22.946,27.8,2.135,95.393,1400,20.265,0.22946,27.24849,89.376,1,3.146128036
10506.5,2,23.265,27.9,2.145,95.775,3100,21.4,0.23265,27.91943,84.1,2,3.491361694
10507.5,2,23.265,27.1,2.146,92.704,1100,24.299,0.23265,32.69884,76.227,1,3.041392685
10508.5,2,21.611,25.2,2.196,88.687,530,28.096,0.21611,35.40134,70.323,2,2.72427587
10509.5,2,20.43,27.9,2.235,85.144,1700,30.213,0.2043,41.52929,68.75,1,3.230448921
10510.5,1,19.012,19.3,2.287,80.419,69,34.935,0.19012,47.94115,71.114,2,1.838849091
10511,1,17.978,19.4,2.309,78.529,90,37.564,0.17978,52.57523,72.297,1,1.954242509
10512,1,16.792,12.6,2.337,83.444,2.2,38.956,0.16792,53.56109,72.299,2,0.342422681
10513,1,17.028,18.4,2.324,83.541,110,37.574,0.17028,51.92234,76.632,1,2.041392685
10514,1,17.028,18.9,2.311,85.616,230,28.803,0.17028,39.84496,77.815,2,2.361727836
10515.5,1,18.209,22.7,2.286,83.425,970,14.639,0.18209,19.99553,73.093,1,2.986771734
10516,1,17.831,19.8,2.275,82.072,160,13.615,0.17831,19.54052,72.701,2,2.204119983
10517,1,17.973,18.6,2.302,82.072,51,15.744,0.17973,21.42705,74.246,1,1.707570176
10517.5,1,17.834,15.3,2.337,82.072,6,16.929,0.17834,24.48785,75.459,2,0.77815125
10518.5,1,17.359,15,2.373,84.435,6.9,15.746,0.17359,22.61672,77.824,1,0.838849091
10519.5,1,17.359,16,2.359,85.28,16,15.748,0.17359,22.32411,79.794,2,1.204119983
10520,1,17.359,20.4,2.337,86.798,67,15.749,0.17359,22.51431,83.472,1,1.826074803
10521,2,18.201,22.6,2.313,91.523,180,18.21,0.18201,26.29012,86.491,2,2.255272505
10522,2,19.775,26.9,2.28,95.066,770,22.914,0.19775,30.69422,81.769,1,2.886490725
10523,2,20.335,24.1,2.236,95.585,1300,31.38,0.20335,41.67119,78.62,2,3.113943352
10524,2,19.497,20.8,2.225,94.257,380,31.384,0.19497,41.61121,77.834,1,2.579783597
10525,2,18.676,18,2.259,95.775,130,36.288,0.18676,48.06362,86.499,2,2.113943352
10526,2,18.34,25.6,2.265,97.103,1100,43.507,0.1834,57.36023,89.258,1,3.041392685
10526.5,2,18.404,23.1,2.255,97.429,660,45.117,0.18404,56.54175,89.259,2,2.819543936
10527.5,2,19.39,26.4,2.204,97.429,1800,58.162,0.1939,72.0479,88.27,1,3.255272505
